True/Pred,BRCA,COAD,KIRC,LUAD,PRAD,Total
BRCA,56,0,0,0,0,56
COAD,13,4,0,60,1,78
KIRC,0,0,29,0,0,29
LUAD,0,0,0,33,0,33
PRAD,135,0,0,0,1,136
